name.draftkings,name.pga,verify
Fredrik Jacobson,Freddie Jacobson,good
Natipong Srithong,Netipong Sritonginn,good
Thorbjorn Olesen,Thorbjørn Olesen,good
Shintaro Ban,Shintaro Kobayashi,good
Ben Crancer,Ben Crane,good
Tim O'Neal,Timothy O'Neal,good
Tjaart Van der Walt,Tjaart van der Walt,good
Gonzalo Fernandez-Castano,Gonzalo Fernandez-Castaño,good
Rafael Cabrera-Bello,Rafa Cabrera Bello,good
Tyson  Alexander,Tyson Alexander,good
Victor   Perez,Victor Perez,good
Hugo Leon,Hugo León,good
Sang-hyun Park,Sanghyun Park,good
Hyunwoo Ryu,Hyun-woo Ryu,good
Angel Cabrera,Ángel Cabrera,good
Erik Van Rooyen,Erik van Rooyen,good
Gregory Havret,Grégory Havret,good
Zach J. Johnson,Zach Johnson,good
TOMOHARU OTSUKI,Tomoharu Otsuki,good
Robert Macintyre,Robert MacIntyre,good
Thomas Bjorn,Thomas Bjørn,good
Richard T. Lee,Richard Lee,good
Sebastian Vazquez,Sebastián Vázquez,good
Wei-chih Lu,Lu Wei-chih,good
Matt  Wallace,Matt Wallace,good
Donny Lee,Danny Lee,good
Jordan L. Smith,Jordan L Smith,good
Alejandro Canizares,Alejandro Cañizares,good
Jbe Kruger,Jbe' Kruger,good
Jung-Gon Hwang,Jung-gon Hwang,good
Dawie Van Der Walt,Tjaart van der Walt,good
Chris Crawford,Cory Crawford,good
Nacho Elvira,Ignacio Elvira Mijares,good
Trevor Fisher,Trevor Fisher Jr,good
TAE HEE LEE,Tae Hee Lee,good
Michael  Johnson,Michael Jonzon,good
Giwhan Kim,Gi-Whan Kim,good
Mike Miller,M Miller,good
Bernd Ritthammer,Bernard Ritthammer,good
VINCENT WHALEY,Vincent Whaley,good
Younghan Song,Young-han Song,good
Magnus A Carlsson,Magnus Carlsson,good
James Allenby,James Allan,good
Yan-Wei Liu,Yanwei Liu,good
Gregory Bourdy,Grégory Bourdy,good
Chun An Yu,Chun-an Yu,good
Thanyakon Khrongpha,Thanyakorn Khrongpha,good
Yikeun Chang,Yi Keun Chang,good
Soren Kjeldsen,Søren Kjeldsen,good
Hao-Tong Li,Haotong Li,good
Seunghyuk  Kim,Seunghyuk Kim,good
Sang-Moon Bae,Sangmoon Bae,good
Richard S. Johnson,Richard Johnson,good
Wen-tang Lin,Wen-Tang Lin,good
Adilson Da Silva,Adilson da Silva,good
YOSHINORI FUJIMOTO,Yoshinori Fujimoto,good
Shiv Chawrasia,SSP Chawrasia,good
Julian Etulain,Julián Etulain,good
Hui-Lin Zhang,Huilin Zhang,good
Clement Sordet,Clément Sordet,good
Mike Lorenzo-Vera,Michael Lorenzo-Vera,good
